id,name,price,category,brand,description,color
1001,"iPhone 7",700,cellphones,Apple,"The best performance and battery life ever in an iPhone. Immersive stereo speakers. The brightest, most colorful iPhone display. Splash and water resistance. And it looks every bit as powerful as it is.",black
1002,"ActiveCare Hair Dryer",50,electronics,Philips,Philips ActiveCare Hair Dryer HP8270 1500W Max. Protection from over-dried hair 110V,white
1003,"Apple MacBook Pro",1500,laptop,Apple,"With sixth‑generation Intel processors, improved graphics performance, faster flash storage, and up to 10 hours of battery life, MacBook is the best you can get right now!",silver
1004,"Acai Berry Juice",10,"Health and Nutrition",sambazon,"Acai is a delicious purple berry that grows on the banks of the Amazon. Long treasured by natives for its restorative powers, acai is widely considered to be one of the healthiest foods on the planet.",purple
1005,"Yamaha FG",600,"music and instruments/guitars",Yamaha,"With a focus on great playability, musical tone and outstanding build quality, the original FG180 quickly became a classic with countless careers and hit records starting life on an FG. Wherever your musical journey’s going, it all starts here.",brown
1006,"Snow Boots",30,boots,khombhu,"Round toe with bumper,Quilted detail,Bungee lace-up with toggle closure,Faux fur lining,Back pull-tab,Lug sole,Approx.",black
1007,"Vacuum Cleaner",150,"household cleaning",Bissel,"Keep cleaning simple and effective with the BISSELL CleanView Vacuum with OnePass Technology. This lightweight vacuum features OnePass Technology—with powerful suction and an innovative brush design—that cleans on initial pass.",orange
1008,"Morton Salt",1,food,"Morton Williams"," ",blue
1009,"Kellog's K",3,"Health and nutrition","Kellog's","A great way to start your day, and also your diet plan!",red
1010,"Alien by Thierry Mugler",200,perfumes,Mugler,"Feel extraordinary, Mysterious and fascinating, ALIEN perfume has the power to illuminate and reveal a radiant, feminine aura.",purple
1011,"Sony WirelessHeadphones",50,"audio accessories",Sony,"Feel the powerful, clear sound of EXTRA BASS, Keep the music pumping with long battery life. Listen in comfort and style with cushioned ear pads, Enjoy hands-free calls with a built-in mic",black
1012,"Sony digital camera",500,Cameras,Sony,"MP Super HAD CCD sensor for beautifully detailed images, Sony Lens w/ 5x Optical Zoom, Reduced blur with SteadyShot Image stabilization, Capture your videos in 720p HD Movie mode, Simplify camera menu with Easy Mode.",black
1013,"Coffee Maker",70,"Kitchen Appliances",Keurig,"The Classic Keurig K-Cup Single Serve Coffee Maker. Includes 4 K-Cup pods and a water filter handle + 2 water filters to help your beverages taste their best",black
1014,"HP LaserJet Printer",200,"Printers and Scanners",HP,"Affordable, shared, wireless HP LaserJet printing in the home or office, using one of the most energy-efficient laser printers on the planet. Save space with an ultra-compact printer with a sleek, industrial design",black
1015,"Whirlpool washing machine",600,"Kitchen Appliances",Whirlpool,"The full tub wash & rinse feature fills the entire tub with water, and together the 210 degree agitation, provide maximum clean results. The durability of the product is ensured due to the commercial-grade steel cabinet and stainless steel tub.",white
1016,Dishwasher,500,"Kitchen Appliances",Bosch,"16 Place Setting Capacity, 6 Wash Cycles, 5 Options, Delay Start, Flexible Third Rack",silver
1017,"365 BedtimeStories and rhymes",11,books,"Parragon Books LTD","Be enchanted and delighted by a bedtime story for every day of the year in this beautifully illustrated collection carefully retold for every little ones story time. Snuggle up and let classic fairy tales, magical stories and favourite nursery rhymes fill your childs dreams with imagination and adventure.",purple
1018,"Dove Advanced Care Antiperspirant Deodorant",9,"Beauty and Personal care",Dove,"Dove Advanced Care Antiperspirant Deodorant Caring Coconut 2.6 oz, Twin Pack, up to 48 hours of antiperspirant protection. Contains Dove NutriumMoisture and ¼ moisturizers.",white
1019,"Cortesia Box Set of 40 Assorted Birthday Cards",29,"Gifts and cards",Cortesia,"Each card is printed on high quality 140 lb matte laminated thick paper for extra sturdiness. Fully sized 5x7" cards, already folded, no compromises!"," "
1020,"PEDIGREE Adult Complete Nutrition Roasted Chicken, Rice & Vegetable Flavor Dry Dog Food",28,"Pet food",Pedigree,"PEDIGREE Food for Dogs features a delicious chicken flavor that provides antioxidants, vitamins, and minerals to help maintain a healthy lifestyle",yellow
1021,"Happy Cherry Transformers Bus",21,"Toys and Games","Happy Cherry","Figure converts from robot mode to Bus mode. It can improve your child's manipulative ability.",blue
10022,"Kindle Paperwhite E-reader",120,"Electronics","Amazon Kindle","Higher resolution display (300 ppi) - with twice as many pixels. Built-in adjustable light - read day and night. No screen glare, even in bright sunlight, unlike tablets. A single battery charge lasts weeks, not hours",black
1023,"Venture Pal Lightweight Packable Durable Travel Hiking Backpack",21,"Luggage and travel","Venture Pal","This Venture Pal Backpack is made with high quality tear and water resistant material, provides extra strength and long-lasting performance with the lightest weight possible.",orange
1024,"Tide 8317 High Efficiency Laundry Detergent",33,"househld cleaning",Tide,"Original scent, Acti-Lift formula, Contains no phosphate",orange
1025,"Sony KDL40W650D 40-Inch 1080p Smart LED TV",150,"Electronics",Sony,Accessories Include: Mini-plug Video Adapter, Remote Control (RMT-TX102U), Batteries (R03), AC Power Adaptor (ACDP-060S03, ACDP-060E02), AC Power Cord Spec: (Inlet C7, US plug type, 2pin, straight shape, Table Top Stand (Separate, assemble required)",black
1026,"Sport Yoga Mat Pad for Wii Fit Balance Board Gym Exercise",19,"Sports and health","Nintendo Wii",Brand New Sport Mat.Compatible with Nintendo Wii Fit. Can be used like a standard Yoga Mat. Allows you to do yoga sports, such as body balance, body stretch, waist stretch, waist twist, etc. Soft, durable material. Non-stick surface with texture for great traction.",green
